
> futpools-web@0.0.1 dev
> vite


  VITE v5.4.21  ready in 131 ms

  ➜  Local:   http://localhost:5174/
  ➜  Network: use --host to expose
5:03:33 PM [vite] hmr update /src/pages/QuinielaPick.jsx, /src/pages/Home.jsx, /src/pages/PoolDetail.jsx, /src/pages/desktop/QuinielaPickDesktop.jsx, /src/pages/desktop/HomeDesktop.jsx, /src/pages/desktop/PoolDetailDesktop.jsx
5:03:39 PM [vite] hmr update /src/pages/Home.jsx
5:03:45 PM [vite] hmr update /src/pages/Home.jsx
5:03:52 PM [vite] hmr update /src/pages/desktop/HomeDesktop.jsx
5:03:58 PM [vite] hmr update /src/pages/desktop/HomeDesktop.jsx
5:04:06 PM [vite] hmr update /src/pages/PoolDetail.jsx
5:04:17 PM [vite] hmr update /src/pages/PoolDetail.jsx
5:05:26 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
5:05:46 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
5:05:54 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
5:06:03 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
5:06:09 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
5:06:28 PM [vite] hmr update /src/pages/PoolDetail.jsx
5:06:34 PM [vite] hmr update /src/pages/PoolDetail.jsx
5:06:42 PM [vite] hmr update /src/pages/PoolDetail.jsx
5:06:51 PM [vite] hmr update /src/pages/QuinielaPick.jsx
5:06:55 PM [vite] hmr update /src/pages/QuinielaPick.jsx
5:07:07 PM [vite] hmr update /src/pages/desktop/QuinielaPickDesktop.jsx
5:07:17 PM [vite] hmr update /src/pages/desktop/QuinielaPickDesktop.jsx
5:07:27 PM [vite] hmr update /src/pages/desktop/QuinielaPickDesktop.jsx
5:07:38 PM [vite] hmr update /src/pages/desktop/QuinielaPickDesktop.jsx
5:07:44 PM [vite] hmr update /src/pages/desktop/QuinielaPickDesktop.jsx
8:21:04 PM [vite] hmr update /src/pages/PoolDetail.jsx
8:21:10 PM [vite] hmr update /src/pages/PoolDetail.jsx
8:21:32 PM [vite] hmr update /src/pages/PoolDetail.jsx
12:05:05 PM [vite] hmr update /src/pages/QuinielaPick.jsx, /src/pages/Home.jsx, /src/pages/PoolDetail.jsx, /src/pages/desktop/QuinielaPickDesktop.jsx, /src/pages/desktop/HomeDesktop.jsx, /src/pages/desktop/PoolDetailDesktop.jsx
12:05:19 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
12:05:27 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
12:05:41 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
12:05:50 PM [vite] hmr update /src/pages/desktop/PoolDetailDesktop.jsx
12:05:59 PM [vite] hmr update /src/pages/PoolDetail.jsx
12:06:04 PM [vite] hmr update /src/pages/PoolDetail.jsx
12:06:20 PM [vite] hmr update /src/pages/Register.jsx, /src/pages/Settings.jsx, /src/pages/Login.jsx, /src/pages/QuinielaPick.jsx, /src/pages/admin/AdminPayouts.jsx, /src/pages/Home.jsx, /src/pages/PoolDetail.jsx, /src/pages/admin/AdminSpeiPayments.jsx, /src/pages/onboarding/WebOnboarding.jsx, /src/pages/CreatePool.jsx, /src/pages/GlobalLeaderboard.jsx, /src/pages/LiveScores.jsx, /src/pages/Account.jsx, /src/pages/LiveMatch.jsx, /src/components/ComingSoonModal.jsx, /src/arena-ui/TabBar.jsx, /src/desktop/DesktopShell.jsx, /src/arena-ui/ThermometerLadder.jsx, /src/pages/desktop/QuinielaPickDesktop.jsx, /src/pages/desktop/HomeDesktop.jsx, /src/arena-ui/LadderParticipants.jsx, /src/pages/desktop/PoolDetailDesktop.jsx, /src/pages/desktop/LiveScoresDesktop.jsx
12:06:25 PM [vite] hmr update /src/pages/Register.jsx, /src/pages/Settings.jsx, /src/pages/Login.jsx, /src/pages/QuinielaPick.jsx, /src/pages/admin/AdminPayouts.jsx, /src/pages/Home.jsx, /src/pages/PoolDetail.jsx, /src/pages/admin/AdminSpeiPayments.jsx, /src/pages/onboarding/WebOnboarding.jsx, /src/pages/CreatePool.jsx, /src/pages/GlobalLeaderboard.jsx, /src/pages/LiveScores.jsx, /src/pages/Account.jsx, /src/pages/LiveMatch.jsx, /src/components/ComingSoonModal.jsx, /src/arena-ui/TabBar.jsx, /src/desktop/DesktopShell.jsx, /src/arena-ui/ThermometerLadder.jsx, /src/pages/desktop/QuinielaPickDesktop.jsx, /src/pages/desktop/HomeDesktop.jsx, /src/arena-ui/LadderParticipants.jsx, /src/pages/desktop/PoolDetailDesktop.jsx, /src/pages/desktop/LiveScoresDesktop.jsx
5:35:57 PM [vite] hmr update /src/arena-ui/ThermometerLadder.jsx
9:50:13 PM [vite] hmr update /src/App.jsx
